instrument,symbol,expiryDate,strikePrice,optionType,contracts,hammer,cmTdyClose,cmPrcntChgInClose,foTdyClose,foPrcntChgInClose,tdyOI,prcntChgInOI,tdyDelivery,prcntChgInDelivery,tdyDate,cmPrevsClose,foPrevsClose,prevsOI,prevsDelivery,prevsDate
FUTSTK,HINDUNILVR,29-Aug-0019,0.0,XX,15095,,1828.1,-2.0,1830.85,0.0,5649000,0.0,1204383,-30.0,28-Aug-0019,1861.4,1830.85,5649000,1732164,28-Aug-0019
FUTSTK,IDBI,29-Aug-0019,0.0,XX,1424,,26.75,-9.0,26.15,0.0,3948000,0.0,2730032,52.0,28-Aug-0019,29.55,26.15,3948000,1798705,28-Aug-0019
FUTSTK,RAMCOCEM,29-Aug-0019,0.0,XX,1266,,751.75,-1.0,753.35,0.0,349600,0.0,49296,-72.0,28-Aug-0019,760.85,753.35,349600,176136,28-Aug-0019
FUTSTK,TITAN,29-Aug-0019,0.0,XX,7037,,1110.95,-1.0,1111.2,0.0,2650500,0.0,477592,-51.0,28-Aug-0019,1123.7,1111.2,2650500,983293,28-Aug-0019
FUTSTK,POWERGRID,29-Aug-0019,0.0,XX,4662,,205.75,0.0,206.2,0.0,5652000,0.0,3083433,-56.0,28-Aug-0019,206.55,206.2,5652000,7069945,28-Aug-0019
FUTSTK,BATAINDIA,29-Aug-0019,0.0,XX,3326,,1507.7,0.0,1509.45,0.0,651750,0.0,106650,-52.0,28-Aug-0019,1509.1,1509.45,651750,221558,28-Aug-0019
FUTSTK,INFY,29-Aug-0019,0.0,XX,16768,,802.5,2.0,800.8,0.0,12952800,0.0,2578179,-78.0,28-Aug-0019,784.65,800.8,12952800,11517935,28-Aug-0019
FUTSTK,KAJARIACER,29-Aug-0019,0.0,XX,715,,472.05,-2.0,471.2,0.0,713700,0.0,141737,26.0,28-Aug-0019,481.2,471.2,713700,112620,28-Aug-0019
FUTSTK,DABUR,29-Aug-0019,0.0,XX,3144,,434.8,-1.0,435.05,0.0,2148750,0.0,822057,-49.0,28-Aug-0019,440.15,435.05,2148750,1613324,28-Aug-0019
FUTSTK,APOLLOHOSP,29-Aug-0019,0.0,XX,4232,,1521.4,3.0,1512.65,0.0,406500,0.0,427475,194.0,28-Aug-0019,1475.55,1512.65,406500,145459,28-Aug-0019
FUTSTK,TECHM,29-Aug-0019,0.0,XX,3775,,690.2,2.0,687.6,0.0,4837200,0.0,1733113,-20.0,28-Aug-0019,676.35,687.6,4837200,2154733,28-Aug-0019
FUTSTK,BANKBARODA,29-Aug-0019,0.0,XX,8716,,94.5,-3.0,94.65,0.0,22644000,0.0,4435153,-13.0,28-Aug-0019,97.3,94.65,22644000,5083350,28-Aug-0019
FUTSTK,TATAELXSI,29-Aug-0019,0.0,XX,2102,,648.6,0.0,647.45,0.0,667800,0.0,163301,-12.0,28-Aug-0019,651.75,647.45,667800,185103,28-Aug-0019
FUTSTK,IGL,29-Aug-0019,0.0,XX,2704,,333.05,1.0,333.5,0.0,1743500,0.0,535909,-22.0,28-Aug-0019,330.05,333.5,1743500,684773,28-Aug-0019
FUTSTK,CHOLAFIN,29-Aug-0019,0.0,XX,849,,266.45,-1.0,265.8,0.0,895000,0.0,645333,-23.0,28-Aug-0019,270.2,265.8,895000,836259,28-Aug-0019
FUTSTK,ESCORTS,29-Aug-0019,0.0,XX,3683,,492.75,-1.0,491.25,0.0,1331000,0.0,364848,-19.0,28-Aug-0019,495.55,491.25,1331000,451868,28-Aug-0019
FUTSTK,JUSTDIAL,29-Aug-0019,0.0,XX,2534,,704.2,2.0,705.05,0.0,890400,0.0,148109,-47.0,28-Aug-0019,687.8,705.05,890400,281432,28-Aug-0019
FUTSTK,AXISBANK,29-Aug-0019,0.0,XX,16679,,678.2,-1.0,678.5,0.0,15343200,0.0,2028943,-65.0,28-Aug-0019,682.95,678.5,15343200,5808408,28-Aug-0019
FUTSTK,SUNTV,29-Aug-0019,0.0,XX,3250,,441.8,-2.0,441.65,0.0,1118000,0.0,137328,-16.0,28-Aug-0019,451.1,441.65,1118000,163186,28-Aug-0019
FUTSTK,AUROPHARMA,29-Aug-0019,0.0,XX,7160,,591.1,0.0,590.15,0.0,2828000,0.0,561115,-49.0,28-Aug-0019,588.35,590.15,2828000,1101682,28-Aug-0019
FUTSTK,SRF,29-Aug-0019,0.0,XX,1871,,2775.75,-1.0,2775.15,0.0,351750,0.0,57745,-38.0,28-Aug-0019,2806.45,2775.15,351750,93374,28-Aug-0019
FUTSTK,INDUSINDBK,29-Aug-0019,0.0,XX,19386,,1365.85,-1.0,1366.9,0.0,3919200,0.0,3967522,234.0,28-Aug-0019,1386.1,1366.9,3919200,1186140,28-Aug-0019
FUTSTK,HAVELLS,29-Aug-0019,0.0,XX,3582,,666.2,1.0,666.85,0.0,1380000,0.0,248446,-64.0,28-Aug-0019,660.45,666.85,1380000,682383,28-Aug-0019
FUTSTK,UNIONBANK,29-Aug-0019,0.0,XX,3125,,60.3,-4.0,60.5,0.0,6972000,0.0,1284632,-79.0,28-Aug-0019,62.65,60.5,6972000,5990492,28-Aug-0019
FUTSTK,IOC,29-Aug-0019,0.0,XX,8355,,122.9,-2.0,122.9,0.0,27090000,0.0,5947527,-40.0,28-Aug-0019,125.75,122.9,27090000,9934585,28-Aug-0019
FUTSTK,BPCL,29-Aug-0019,0.0,XX,4543,,350.55,2.0,350.65,0.0,4438800,0.0,2221729,24.0,28-Aug-0019,342.3,350.65,4438800,1790710,28-Aug-0019
